method_name,tolerance_s,correct_rate,error_rate,num_predictions
offline_dtw,0.0,4.282105082858733e-05,0.9999571789491715,70059
offline_dtw,0.01,0.16411881414236573,0.8358811858576343,70059
offline_dtw,0.02,0.31443497623431677,0.6855650237656832,70059
offline_dtw,0.03,0.4452961075664797,0.5547038924335204,70059
offline_dtw,0.04,0.5446123981215832,0.45538760187841676,70059
offline_dtw,0.05,0.6152671319887524,0.3847328680112476,70059
offline_dtw,0.06,0.6652821193565424,0.33471788064345764,70059
offline_dtw,0.07,0.70263634936268,0.29736365063731995,70059
offline_dtw,0.08,0.7315120113047574,0.2684879886952426,70059
offline_dtw,0.09,0.7543356313963945,0.24566436860360552,70059
offline_dtw,0.1,0.7731197990265348,0.22688020097346517,70059
offline_dtw,0.11,0.7887352088953596,0.21126479110464036,70059
offline_dtw,0.12,0.8020811030702694,0.19791889692973064,70059
offline_dtw,0.13,0.8135999657431593,0.1864000342568407,70059
offline_dtw,0.14,0.8240768495125537,0.17592315048744633,70059
offline_dtw,0.15,0.8333832912259667,0.16661670877403334,70059
offline_dtw,0.16,0.8419332277080747,0.15806677229192534,70059
offline_dtw,0.17,0.8494840063375155,0.15051599366248447,70059
offline_dtw,0.18,0.8563781955209181,0.1436218044790819,70059
offline_dtw,0.19,0.862715711043549,0.13728428895645095,70059
offline_dtw,0.2,0.8685821950070655,0.13141780499293454,70059
offline_dtw,0.21,0.8734637948015245,0.12653620519847553,70059
offline_dtw,0.22,0.878202657759888,0.12179734224011196,70059
offline_dtw,0.23,0.8826560470460612,0.11734395295393885,70059
offline_dtw,0.24,0.8864671205698055,0.11353287943019452,70059
offline_dtw,0.25,0.889450320444197,0.11054967955580297,70059
offline_dtw,0.26,0.8929616466121412,0.10703835338785883,70059
offline_dtw,0.27,0.8961589517406757,0.10384104825932428,70059
offline_dtw,0.28,0.8989137726773149,0.10108622732268513,70059
offline_dtw,0.29,0.9011547410040109,0.09884525899598906,70059
offline_dtw,0.3,0.9034099830143165,0.09659001698568348,70059
offline_dtw,0.31,0.9054368460868696,0.09456315391313042,70059
offline_dtw,0.32,0.9077206354643943,0.0922793645356057,70059
offline_dtw,0.33,0.9096047617008521,0.09039523829914786,70059
offline_dtw,0.34,0.9115031616209195,0.08849683837908051,70059
offline_dtw,0.35000000000000003,0.9135728457443012,0.0864271542556988,70059
offline_dtw,0.36,0.9153713298791019,0.08462867012089814,70059
offline_dtw,0.37,0.9171127192794645,0.08288728072053553,70059
offline_dtw,0.38,0.9190253928831413,0.08097460711685867,70059
offline_dtw,0.39,0.9204384875604847,0.07956151243951526,70059
offline_dtw,0.4,0.9218801296050472,0.07811987039495283,70059
offline_dtw,0.41000000000000003,0.9233503190168286,0.07664968098317138,70059
offline_dtw,0.42,0.9245493084400291,0.07545069155997086,70059
offline_dtw,0.43,0.9259624031173725,0.07403759688262745,70059
offline_dtw,0.44,0.9272470346422301,0.07275296535776987,70059
offline_dtw,0.45,0.9281748240768495,0.07182517592315052,70059
offline_dtw,0.46,0.9290169714098118,0.07098302859018824,70059
offline_dtw,0.47000000000000003,0.9300446766296978,0.06995532337030219,70059
offline_dtw,0.48,0.9309153713298791,0.06908462867012088,70059
offline_dtw,0.49,0.9317860660300604,0.06821393396993958,70059
offline_dtw,0.5,0.9325140238941464,0.0674859761058536,70059
offline_dtw,0.51,0.93331335017628,0.06668664982371997,70059
offline_dtw,0.52,0.9341126764584137,0.06588732354158633,70059
offline_dtw,0.53,0.9348691816897187,0.06513081831028134,70059
offline_dtw,0.54,0.9355543185029761,0.0644456814970239,70059
offline_dtw,0.55,0.9362394553162334,0.06376054468376657,70059
offline_dtw,0.56,0.9368674973950527,0.0631325026049473,70059
offline_dtw,0.5700000000000001,0.9373813500049958,0.06261864999500422,70059
offline_dtw,0.58,0.9381664026035199,0.06183359739648009,70059
offline_dtw,0.59,0.938708802580682,0.06129119741931799,70059
offline_dtw,0.6,0.9392369288742346,0.0607630711257654,70059
offline_dtw,0.61,0.93967941306613,0.06032058693386999,70059
offline_dtw,0.62,0.9402075393596826,0.0597924606403174,70059
offline_dtw,0.63,0.9405929288171399,0.05940707118286015,70059
offline_dtw,0.64,0.941135328794302,0.05886467120569805,70059
offline_dtw,0.65,0.9417348235059022,0.05826517649409779,70059
offline_dtw,0.66,0.9422629497994548,0.057737050200545204,70059
offline_dtw,0.67,0.9425912445224739,0.05740875547752611,70059
offline_dtw,0.68,0.9430051813471503,0.05699481865284972,70059
offline_dtw,0.6900000000000001,0.9434476655390457,0.05655233446095431,70059
offline_dtw,0.7000000000000001,0.9437331392112362,0.05626686078876375,70059
offline_dtw,0.71,0.944104254985084,0.05589574501491601,70059
offline_dtw,0.72,0.9445467391769794,0.0554532608230206,70059
offline_dtw,0.73,0.9448464865327795,0.05515351346722053,70059
offline_dtw,0.74,0.9452604233574559,0.05473957664254414,70059
offline_dtw,0.75,0.9456172654476941,0.05438273455230591,70059
offline_dtw,0.76,0.946074023323199,0.05392597667680099,70059
offline_dtw,0.77,0.9465450548823134,0.05345494511768656,70059
offline_dtw,0.78,0.947073181175866,0.05292681882413397,70059
offline_dtw,0.79,0.9474442969497138,0.05255570305028623,70059
offline_dtw,0.8,0.9477297706219044,0.052270229378095556,70059
offline_dtw,0.81,0.948043791661314,0.05195620833868597,70059
offline_dtw,0.8200000000000001,0.9483435390171141,0.0516564609828859,70059
offline_dtw,0.8300000000000001,0.9486575600565238,0.051342439943476204,70059
offline_dtw,0.84,0.9489573074123239,0.05104269258767613,70059
offline_dtw,0.85,0.9493141495025621,0.0506858504974379,70059
offline_dtw,0.86,0.949770907378067,0.05022909262193298,70059
offline_dtw,0.87,0.9501134757846957,0.04988652421530426,70059
offline_dtw,0.88,0.9503989494568863,0.0496010505431137,70059
offline_dtw,0.89,0.9508271599651722,0.0491728400348278,70059
offline_dtw,0.9,0.9512410967898486,0.048758903210151416,70059
offline_dtw,0.91,0.951712128348963,0.048287871651036984,70059
offline_dtw,0.92,0.9520832441228108,0.04791675587718924,70059
offline_dtw,0.93,0.9524258125294395,0.047574187470560525,70059
offline_dtw,0.9400000000000001,0.9529539388229921,0.047046061177007936,70059
offline_dtw,0.9500000000000001,0.9533536019640588,0.04664639803594117,70059
offline_dtw,0.96,0.9538103598395637,0.04618964016043625,70059
offline_dtw,0.97,0.9542813913986783,0.04571860860132171,70059
offline_dtw,0.98,0.9546953282233546,0.04530467177664543,70059
offline_dtw,0.99,0.9551520860988595,0.04484791390114051,70059
