method_name,tolerance_s,correct_rate,error_rate,num_predictions
hmm_train70,0.0,4.282105082858733e-05,0.9999571789491715,70059
hmm_train70,0.01,0.10752365863058279,0.8924763413694172,70059
hmm_train70,0.02,0.20569805449692402,0.794301945503076,70059
hmm_train70,0.03,0.28897072467491686,0.7110292753250831,70059
hmm_train70,0.04,0.35275981672590245,0.6472401832740975,70059
hmm_train70,0.05,0.4002769094620249,0.5997230905379751,70059
hmm_train70,0.06,0.43314920281477043,0.5668507971852296,70059
hmm_train70,0.07,0.4567007807704934,0.5432992192295065,70059
hmm_train70,0.08,0.4746713484348906,0.5253286515651094,70059
hmm_train70,0.09,0.4919282319188113,0.5080717680811887,70059
hmm_train70,0.1,0.5069584207596455,0.4930415792403545,70059
hmm_train70,0.11,0.5206326096575743,0.4793673903424257,70059
hmm_train70,0.12,0.5337929459455601,0.46620705405443985,70059
hmm_train70,0.13,0.5454117244037169,0.4545882755962831,70059
hmm_train70,0.14,0.5573159765340642,0.4426840234659358,70059
hmm_train70,0.15,0.5681211550264776,0.43187884497352236,70059
hmm_train70,0.16,0.5782982914400719,0.42170170855992806,70059
hmm_train70,0.17,0.5886752594241996,0.4113247405758004,70059
hmm_train70,0.18,0.5985098274311652,0.4014901725688348,70059
hmm_train70,0.19,0.6089296164661214,0.3910703835338786,70059
hmm_train70,0.2,0.618821279207525,0.38117872079247495,70059
hmm_train70,0.21,0.6281419946045476,0.37185800539545244,70059
hmm_train70,0.22,0.637434162634351,0.36256583736564896,70059
hmm_train70,0.23,0.6469689832855164,0.35303101671448356,70059
hmm_train70,0.24,0.6552619934626529,0.3447380065373471,70059
hmm_train70,0.25,0.6638404773119799,0.3361595226880201,70059
hmm_train70,0.26,0.6715197190939066,0.3284802809060934,70059
hmm_train70,0.27,0.6793845187627571,0.3206154812372429,70059
hmm_train70,0.28,0.6876347078890649,0.3123652921109351,70059
hmm_train70,0.29,0.6958563496481537,0.3041436503518463,70059
hmm_train70,0.3,0.7037925177350519,0.2962074822649481,70059
hmm_train70,0.31,0.7114003910989309,0.28859960890106906,70059
hmm_train70,0.32,0.7184801381692574,0.2815198618307426,70059
hmm_train70,0.33,0.7255741589231933,0.2744258410768067,70059
hmm_train70,0.34,0.732311337586891,0.26768866241310896,70059
hmm_train70,0.35000000000000003,0.7390199688833697,0.26098003111663026,70059
hmm_train70,0.36,0.7444582423386004,0.25554175766139964,70059
hmm_train70,0.37,0.7497252315905165,0.2502747684094835,70059
hmm_train70,0.38,0.7547781155882899,0.2452218844117101,70059
hmm_train70,0.39,0.7601164732582537,0.2398835267417463,70059
hmm_train70,0.4,0.7653120940921223,0.2346879059078777,70059
hmm_train70,0.41000000000000003,0.769294451819181,0.230705548180819,70059
hmm_train70,0.42,0.773961946359497,0.226038053640503,70059
hmm_train70,0.43,0.7784153356456701,0.22158466435432989,70059
hmm_train70,0.44,0.7824976091579954,0.21750239084200462,70059
hmm_train70,0.45,0.7867511668736351,0.2132488331263649,70059
hmm_train70,0.46,0.7904765982957221,0.20952340170427786,70059
hmm_train70,0.47000000000000003,0.7939308297292282,0.20606917027077176,70059
hmm_train70,0.48,0.7972851453774675,0.20271485462253247,70059
hmm_train70,0.49,0.8008535662798498,0.19914643372015017,70059
hmm_train70,0.5,0.8035655661656603,0.19643443383433967,70059
hmm_train70,0.51,0.8065202186728329,0.19347978132716714,70059
hmm_train70,0.52,0.8094177764455673,0.19058222355443266,70059
hmm_train70,0.53,0.8118585763427968,0.1881414236572032,70059
hmm_train70,0.54,0.8140567236186643,0.18594327638133568,70059
hmm_train70,0.55,0.8167259024536462,0.18327409754635382,70059
hmm_train70,0.56,0.8192095234017043,0.18079047659829572,70059
hmm_train70,0.5700000000000001,0.821250660157867,0.17874933984213304,70059
hmm_train70,0.58,0.8232917969140296,0.17670820308597035,70059
hmm_train70,0.59,0.8254043020882399,0.1745956979117601,70059
hmm_train70,0.6,0.8273312493755264,0.17266875062447362,70059
hmm_train70,0.61,0.8291582808775461,0.17084171912245394,70059
hmm_train70,0.62,0.8308711229106895,0.16912887708931046,70059
hmm_train70,0.63,0.8329408070340713,0.16705919296592875,70059
hmm_train70,0.64,0.8344395438130718,0.16556045618692816,70059
hmm_train70,0.65,0.8363807647839678,0.16361923521603217,70059
hmm_train70,0.66,0.8383219857548637,0.16167801424513628,70059
hmm_train70,0.67,0.8396922593813786,0.1603077406186214,70059
hmm_train70,0.68,0.841647754035884,0.158352245964116,70059
hmm_train70,0.6900000000000001,0.8427611013574273,0.15723889864257268,70059
hmm_train70,0.7000000000000001,0.844316932870866,0.15568306712913405,70059
hmm_train70,0.71,0.8456729328137712,0.1543270671862288,70059
hmm_train70,0.72,0.8469147432878003,0.15308525671219975,70059
hmm_train70,0.73,0.8482136484962675,0.15178635150373254,70059
hmm_train70,0.74,0.8493555431850298,0.15064445681497018,70059
hmm_train70,0.75,0.8503832484049159,0.14961675159508414,70059
hmm_train70,0.76,0.8517107009806021,0.1482892990193979,70059
hmm_train70,0.77,0.852923964087412,0.147076035912588,70059
hmm_train70,0.78,0.8539088482564695,0.1460911517435305,70059
hmm_train70,0.79,0.8553647639846416,0.14463523601535844,70059
hmm_train70,0.8,0.8563496481536991,0.14365035184630093,70059
hmm_train70,0.81,0.857562911260509,0.142437088739491,70059
hmm_train70,0.8200000000000001,0.8585192480623475,0.14148075193765253,70059
hmm_train70,0.8300000000000001,0.859532679598624,0.140467320401376,70059
hmm_train70,0.84,0.8603034585135386,0.13969654148646138,70059
hmm_train70,0.85,0.8611884268973294,0.13881157310267056,70059
hmm_train70,0.86,0.8620020268630726,0.1379979731369274,70059
hmm_train70,0.87,0.8629869110321301,0.1370130889678699,70059
hmm_train70,0.88,0.8638861530995304,0.13611384690046957,70059
hmm_train70,0.89,0.8648567635849784,0.13514323641502157,70059
hmm_train70,0.9,0.8657274582851596,0.13427254171484038,70059
hmm_train70,0.91,0.8664554161492456,0.1335445838507544,70059
hmm_train70,0.92,0.8672119213805507,0.1327880786194493,70059
hmm_train70,0.93,0.8679541529282462,0.13204584707175382,70059
hmm_train70,0.9400000000000001,0.8687249318431608,0.1312750681568392,70059
hmm_train70,0.9500000000000001,0.8694957107580753,0.1305042892419247,70059
hmm_train70,0.96,0.8701523002041137,0.12984769979588628,70059
hmm_train70,0.97,0.8706376054468377,0.12936239455316234,70059
hmm_train70,0.98,0.8712799212092665,0.12872007879073355,70059
hmm_train70,0.99,0.8719936053897429,0.1280063946102571,70059
hmm_train70,1.0,0.8727929316718765,0.12720706832812345,70059
