method_name,reference_id,query_id,num_beats_used,mean_error_s,mean_abs_error_s,median_abs_error_s,rmse_s,max_abs_error_s,p95_abs_error_s,within_10ms,within_20ms,within_50ms,within_100ms,within_200ms,within_500ms,distance_metric,step_pattern,local_cost_shape,total_cost,normalized_cost,piece,pair_id
offline_dtw,Chopin_Op030No2_Ashkenazy-1981_pid9058-19,Chopin_Op030No2_Yaroshinskiy-2005_pid9081-10,193,1.9353244185847054,2.175194121027341,0.5829480317460334,3.3952355374135257,7.603922832199537,6.899791472562352,0.010362694300518135,0.031088082901554404,0.07253886010362694,0.11917098445595854,0.23316062176165803,0.47150259067357514,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3381)",3245.606772684508,1.4705966346554182,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1981_pid9058-19__Chopin_Op030No2_Yaroshinskiy-2005_pid9081-10
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Olejniczac-1990_pid9100b-19,193,-0.006363485025789639,0.05507921870924565,0.033106575963728346,0.08408840765401436,0.44100900000000004,0.1787572290249513,0.15025906735751296,0.33678756476683935,0.6424870466321243,0.8341968911917098,0.9689119170984456,1.0,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3235)",945.8462030386637,0.42682590389831393,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Olejniczac-1990_pid9100b-19
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Poblocka-1999_pid9093-19,193,0.025814705186047376,0.06294884376652214,0.03079379138322036,0.12174987103552996,0.8222902494331095,0.25207480498865803,0.19170984455958548,0.34196891191709844,0.6787564766839378,0.8549222797927462,0.9430051813471503,0.9844559585492227,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3732)",1036.5406854826344,0.4306359308195407,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Poblocka-1999_pid9093-19
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Rangell-2001_pid9094-19,193,0.024422634051202506,0.06136261094074977,0.028367346938772187,0.14062529419501757,1.3467577857142814,0.23500899999999966,0.18134715025906736,0.37305699481865284,0.6994818652849741,0.8808290155440415,0.9326424870466321,0.9844559585492227,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3908)",1216.9224753396581,0.5001736437894198,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Rangell-2001_pid9094-19
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Rubinstein-1939_pid9049-19,193,0.005507741843196659,0.05391422310927768,0.02645131746031737,0.10784014559340065,0.7360089999999999,0.18376414421768456,0.19170984455958548,0.40932642487046633,0.7409326424870466,0.8808290155440415,0.9481865284974094,0.9896373056994818,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3516)",1140.117550610383,0.4924913825530812,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Rubinstein-1939_pid9049-19
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Rubinstein-1952_pid9075-19,193,0.04373363572544713,0.062317535306004944,0.027324122448987964,0.18878338930154379,1.8294793083900132,0.1567661931972772,0.23316062176165803,0.39378238341968913,0.7461139896373057,0.8911917098445595,0.9637305699481865,0.9792746113989638,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3748)",1058.5745012420323,0.44273295744125146,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Rubinstein-1952_pid9075-19
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Rubinstein-1966_pid9059-19,193,0.012098535170890504,0.04219082858082795,0.02680282539682466,0.07353943315005985,0.6211340612245024,0.1184148956916097,0.16062176165803108,0.37305699481865284,0.7823834196891192,0.9326424870466321,0.9792746113989638,0.9948186528497409,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 4007)",1139.2591552296046,0.46330181180545127,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Rubinstein-1966_pid9059-19
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Shebanova-2002_pid9072-19,193,0.01679290868609982,0.03815558690211849,0.02374156689342044,0.05674779049890234,0.22911550566893268,0.11981649206349178,0.23834196891191708,0.42487046632124353,0.7668393782383419,0.9015544041450777,0.9844559585492227,1.0,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3361)",798.8922456235359,0.35162510810895065,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Shebanova-2002_pid9072-19
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Smith-1975_pid9054-19,193,0.02393362043988583,0.06140747008682528,0.0421996167800458,0.09015114030775638,0.40707497052154906,0.1672471795918383,0.09326424870466321,0.21243523316062177,0.6113989637305699,0.8341968911917098,0.9637305699481865,1.0,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3004)",1200.2971807300673,0.5622000846510854,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Smith-1975_pid9054-19
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Sofronitsky-1960_pid5667291-15,193,0.02075320578525037,0.051581030465381206,0.02650816893424235,0.08549603739136785,0.49156457823129074,0.18576415215419484,0.20207253886010362,0.38341968911917096,0.7305699481865285,0.8393782383419689,0.9689119170984456,1.0,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 2931)",712.8853460801745,0.33547545697890563,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Sofronitsky-1960_pid5667291-15
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Uninsky-1959_pid9061-19,193,0.01644132654236152,0.05772616163218303,0.03306083900226753,0.11828071134916084,1.2415426961451246,0.18422219682539004,0.20207253886010362,0.34196891191709844,0.694300518134715,0.8393782383419689,0.9689119170984456,0.9948186528497409,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3878)",1194.762115848209,0.49678258455226987,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Uninsky-1959_pid9061-19
offline_dtw,Chopin_Op030No2_Ashkenazy-1982_pid50848-03,Chopin_Op030No2_Yaroshinskiy-2005_pid9081-10,193,1.9368846370707182,2.176586329926099,0.5768482585034054,3.3949668358185985,7.597823058956905,6.910439998639466,0.010362694300518135,0.025906735751295335,0.06735751295336788,0.10880829015544041,0.21761658031088082,0.47668393782383417,cosine,"{'transitions': ((1, 1), (1, 2), (2, 1)), 'weights': (2.0, 3.0, 3.0)}","(2990, 3381)",3250.121981405541,1.4713091812609964,Chopin_Op030No2,Chopin_Op030No2_Ashkenazy-1982_pid50848-03__Chopin_Op030No2_Yaroshinskiy-2005_pid9081-10
